source,force,target
MQRF_626,0.425332831707878,MQRF_31
MQRF_629,0.425944405613219,MQRF_31
MQRF_634,0.41111187736551,MQRF_31
MQRF_649,0.405382375907846,MQRF_31
MQRF_650,0.445400341813257,MQRF_31
MQRF_652,0.46244481559417,MQRF_31
MQRF_653,0.567472417725064,MQRF_31
MQRF_666,0.41453569650703,MQRF_31
MQRF_677,0.440899452488293,MQRF_31
MQRF_32,1.0,MQRF_32
MQRF_33,0.501430814563971,MQRF_32
MQRF_35,0.437043980008791,MQRF_32
MQRF_36,0.433236542534958,MQRF_32
MQRF_39,0.543525154941903,MQRF_32
MQRF_228,0.421040242475965,MQRF_32
MQRF_485,0.475115868299075,MQRF_32
MQRF_489,0.449393957205267,MQRF_32
MQRF_539,0.463721429693308,MQRF_32
MQRF_596,0.428931420189869,MQRF_32
MQRF_641,0.489627802702232,MQRF_32
MQRF_655,0.453998113492919,MQRF_32
MQRF_31,0.51975769089867,MQRF_33
MQRF_32,0.501430814563971,MQRF_33
MQRF_33,1.0,MQRF_33
MQRF_34,0.488082170553879,MQRF_33
MQRF_35,0.483364516187567,MQRF_33
MQRF_36,0.403835800748336,MQRF_33
MQRF_37,0.44103861235098,MQRF_33
MQRF_39,0.540541509349052,MQRF_33
MQRF_50,0.406454691159231,MQRF_33
MQRF_60,0.409719794050541,MQRF_33
MQRF_109,0.416344906975664,MQRF_33
MQRF_180,0.428576483797057,MQRF_33
MQRF_187,0.426437923554825,MQRF_33
MQRF_228,0.520829439835898,MQRF_33
MQRF_260,0.419488968482887,MQRF_33
MQRF_264,0.453433260584903,MQRF_33
MQRF_269,0.405871348932643,MQRF_33
MQRF_276,0.414509564739458,MQRF_33
MQRF_294,0.407189556915596,MQRF_33
MQRF_304,0.407372447214481,MQRF_33
MQRF_306,0.42206604649117,MQRF_33
MQRF_334,0.418293660564347,MQRF_33
MQRF_471,0.443668045353334,MQRF_33
MQRF_481,0.427875491689934,MQRF_33
MQRF_484,0.484363362653659,MQRF_33
MQRF_488,0.466740624128198,MQRF_33
MQRF_489,0.449131314593208,MQRF_33
MQRF_495,0.436058847520928,MQRF_33
MQRF_537,0.440817163995853,MQRF_33
MQRF_538,0.400504363936906,MQRF_33
MQRF_539,0.417620181596477,MQRF_33
MQRF_556,0.457138950684053,MQRF_33
MQRF_561,0.436701964004856,MQRF_33
MQRF_583,0.42136757468349,MQRF_33
MQRF_597,0.432356923601645,MQRF_33
MQRF_601,0.402965103433746,MQRF_33
MQRF_619,0.405525286715349,MQRF_33
MQRF_620,0.507794309355183,MQRF_33
MQRF_638,0.437520931017604,MQRF_33
MQRF_641,0.501153104487196,MQRF_33
MQRF_652,0.497786582487888,MQRF_33
MQRF_653,0.469735707479002,MQRF_33
MQRF_654,0.482343092990674,MQRF_33
MQRF_655,0.400014514473421,MQRF_33
MQRF_27,0.4753327994601,MQRF_34
MQRF_28,0.573223651952517,MQRF_34
MQRF_31,0.45766860906947,MQRF_34
MQRF_33,0.488082170553879,MQRF_34
MQRF_34,1.0,MQRF_34
