Q16_1,1,1
Q16_2,1,1
Q16_3,1,1
Q16_4,1,1
Q16_5,1,1
Q16_6,1,1
Q16_7,1,1
Q16_8,1,1
Q16_9,1,1
Q17,1,1
Q19_1,1,1
Q19_2,1,1
Q19_3,1,1
Q19_4,1,1
Q19_5,1,1
Q19_6,1,1
Q19_7,1,1
Q20,1,1
Q21_1,1,1
Q21_2,1,1
Q21_3,1,1
Q21_4,1,1
Q21_5,1,1
Q21_6,1,1
Q21_7,1,1
Q21_8,1,1
Q21_9,1,1
Q21_10,1,1
Q21_11,1,1
Q21_12,1,1
Q21_13,1,1
Q21_14,1,1
Q21_15,1,1
Q21_16,1,1
Q21_17,1,1
Q22_1,1,1
Q22_2,1,1
Q22_3,1,1
Q22_4,1,1
Q22_5,1,1
Q22_6,1,1
Q22_7,1,1
Q22_8,1,1
Q22_9,1,1
Q22_10,1,1
Q22_11,1,1
Q22_12,1,1
Q22_13,1,1
Q22_14,1,1
Q22_15,1,1
Q22_16,1,1
Q22_17,1,1
Q22_18,1,1
Q24,1,1
Q25,0.8,1
Q26,0.8,1
Q27,0.8,1
Q28,0.8,1
Q29,0.8,1
Q30,0.8,1
Q35,0.82,1
Q116,0.82,1
Q36,0.82,1
Q117,0.82,1
Q37,0.82,1
Q38,0.82,1
Q39,0.82,1
Q40,0.82,1
Q41,0.82,1
Q42,0.82,1
Q43,0.82,1
Q44,0.82,1
Q45,0.82,1
Q46,0.82,1
Q47,0.82,1
Q48,0.82,1
Q49,0.82,1
Q50,0.82,1
Q51,0.82,1
Q52,0.82,1
Q53,0.82,1
Q54,0.82,1
Q55_1,0.82,1
Q55_2,0.82,1
Q55_3,0.82,1
Q55_4,0.82,1
Q55_5,0.82,1
Q55_6,0.82,1
Q55_7,0.82,1
Q55_8,0.82,1
Q55_9,0.82,1
Q55_10,0.82,1
Q55_11,0.82,1
Q55_12,0.82,1
Q55_13,0.82,1
